"title","audience_score","type","genre","runtime","year","mpaa_rating","imdb_num_votes","critics_score","critics_rating","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","audience_rating","director","actor1","actor2","actor3","actor4","actor5","rt_url","imdb_url","imdb_id"
"Patrick",52,"Feature Film","Horror",112,1978,"PG",1301,40,"Rotten","no","no","no","no","no","no","Spilled","Richard Franklin","Susan Penhaligon","Robert Helpmann","Rod Mullinar","Bruce Barry","Julia Blake","http://www.rottentomatoes.com/m/1016035-patrick/","http://www.imdb.com/title/tt0078067/","78067"
"Demon Seed",43,"Feature Film","Horror",94,1977,"R",4675,71,"Fresh","no","no","no","yes","no","no","Spilled","Donald Cammell","Julie Christie","Fritz Weaver","Gerrit Graham","Berry Kroeger","Lisa Lu","http://www.rottentomatoes.com/m/demon_seed/","http://www.imdb.com/title/tt0075931/","75931"
"Tormented",34,"Feature Film","Horror",91,2009,"R",4581,69,"Fresh","no","no","no","no","no","no","Spilled","Jon Wright","Alex Pettyfer","April Pearson","Dimitri Leonidas","Calvin Dean","Tuppence Middleton","http://www.rottentomatoes.com/m/10011243-tormented/","http://www.imdb.com/title/tt1100053/","1100053"
"Under the Bed",12,"Feature Film","Horror",87,2012,"R",956,44,"Rotten","no","no","no","no","no","no","Spilled","Steven C. Miller","Jonny Weston","Gattlin Griffith","Peter Asle Holden","Musetta Vander","Kelcie Stranahan","http://www.rottentomatoes.com/m/under_the_bed_2012/","http://www.imdb.com/title/tt1934458/","1934458"
"Phantasm IV: Oblivion",41,"Feature Film","Horror",90,1998,"R",3432,25,"Rotten","no","no","no","no","no","no","Spilled","Don Coscarelli","Reggie Bannister","A. Michael Baldwin","Bill Thornbury","Angus Scrimm","Bob Ivy","http://www.rottentomatoes.com/m/phantasm_iv_oblivion/","http://www.imdb.com/title/tt0138703/","138703"
"Fright Night Part 2",42,"Feature Film","Horror",104,1988,"R",5984,25,"Rotten","no","no","no","no","no","no","Spilled","Tommy Lee Wallace","Roddy McDowall","William Ragsdale","Traci Lind","Julie Carmen","Russell Clark","http://www.rottentomatoes.com/m/fright_night_2_1988/","http://www.imdb.com/title/tt0097390/","97390"
"House of 1000 Corpses",65,"Feature Film","Horror",89,2003,"R",47708,18,"Rotten","no","no","no","no","no","no","Upright","Rob Zombie","Sid Haig","Bill Moseley","Sheri Moon Zombie","Karen Black","Chris Hardwick","http://www.rottentomatoes.com/m/house_of_1000_corpses/","http://www.imdb.com/title/tt0251736/","251736"
"Creepshow 2",46,"Feature Film","Horror",92,1987,"R",11853,30,"Rotten","no","no","no","no","no","no","Spilled","Michael Gornick","Lois Chiles","George Kennedy","Dorothy Lamour","Tom Savini","Domenick John","http://www.rottentomatoes.com/m/creepshow_2/","http://www.imdb.com/title/tt0092796/","92796"
"The Forsaken",44,"Feature Film","Horror",90,2001,"R",6402,8,"Rotten","no","no","no","no","no","no","Spilled","J.S. Cardone","Kerr Smith","Brendan Fehr","Izabella Miko","Phina Oruche","Simon Rex","http://www.rottentomatoes.com/m/forsaken/","http://www.imdb.com/title/tt0245120/","245120"
"All the Boys Love Mandy Lane",34,"Feature Film","Horror",90,2006,"R",17909,39,"Rotten","no","no","no","no","no","no","Spilled","Jonathan Levine","Amber Heard","Anson Mount","Michael Welch","Whitney Able","Edwin Hodge","http://www.rottentomatoes.com/m/mandy-lane/","http://www.imdb.com/title/tt0490076/","490076"
"Jason Lives: Friday the 13th Part VI",57,"Feature Film","Horror",86,1986,"R",18133,54,"Rotten","no","no","no","no","no","no","Spilled","Tom McLoughlin","Jennifer C. Cooke","David Kagen","Rene Jones","Darcy de Moss","Kerry Noonan","http://www.rottentomatoes.com/m/friday_the_13th_part_6_jason_lives/","http://www.imdb.com/title/tt0091080/","91080"
"Vampire's Kiss",48,"Feature Film","Horror",103,1988,"R",6787,62,"Fresh","no","no","yes","no","no","no","Spilled","Robert Bierman","Nicolas Cage","Maria Conchita Alonso","Jennifer Beals","Elizabeth Ashley","Kasi Lemmons","http://www.rottentomatoes.com/m/vampires_kiss/","http://www.imdb.com/title/tt0098577/","98577"
"The Witches of Eastwick",60,"Feature Film","Horror",118,1987,"R",36623,73,"Fresh","no","no","yes","yes","no","no","Upright","George Miller","Jack Nicholson","Cher","Susan Sarandon","Michelle Pfeiffer","Veronica Cartwright","http://www.rottentomatoes.com/m/witches_of_eastwick/","http://www.imdb.com/title/tt0094332/","94332"
"Yellowbrickroad",28,"Feature Film","Horror",98,2010,"R",3259,44,"Rotten","no","no","no","no","no","no","Spilled","Jesse Holland","Cassidy Freeman","Anessa Ramsey","Clark Freeman","Lee Wilkof","Laura Heisler","http://www.rottentomatoes.com/m/yellowbrickroad/","http://www.imdb.com/title/tt1398428/","1398428"
"Dying Breed",27,"Feature Film","Horror",92,2008,"R",3208,50,"Rotten","no","no","no","no","no","no","Spilled","Jody Dwyer","Nathan Phillips","Leigh Whannell","Bille Brown","Mirrah Foulkes","Melanie Vallejo","http://www.rottentomatoes.com/m/10009870-dying_breed/","http://www.imdb.com/title/tt1064744/","1064744"
"Carrie",73,"Feature Film","Horror",98,1976,"R",86632,92,"Certified Fresh","no","no","no","yes","no","no","Upright","Brian DePalma","Sissy Spacek","Piper Laurie","Amy Irving","William Katt","Nancy Allen","http://www.rottentomatoes.com/m/1003625-carrie/","http://www.imdb.com/title/tt0074285/","74285"
"Whoever Slew Auntie Roo?",56,"Feature Film","Horror",91,1972,"PG",670,57,"Rotten","no","no","no","no","no","no","Spilled","Curtis Harrington","Shelley Winters","Mark Lester","Ralph Richardson","Richard Beaumont","Judy Cornwell","http://www.rottentomatoes.com/m/who_slew_auntie_roo/","http://www.imdb.com/title/tt0067983/","67983"
"The Mangler",23,"Feature Film","Horror",106,1995,"R",5464,22,"Rotten","no","no","no","no","no","no","Spilled","Tobe Hooper","Norman Coombes (II)","Ashley Hayden","Todd Jensen","Danny Keogh","Ted Le Platt","http://www.rottentomatoes.com/m/mangler/","http://www.imdb.com/title/tt0113762/","113762"
"Primal",29,"Feature Film","Horror",80,2010,"Unrated",4026,75,"Fresh","no","no","no","no","no","no","Spilled","Josh Reed","Zoe Tuckwell-Smith","Krew Boylan","Linsday Farris","Rebekah Foord","Damien Freeleagus","http://www.rottentomatoes.com/m/primal_2010/","http://www.imdb.com/title/tt1438534/","1438534"
"The Twilight Saga: New Moon",65,"Feature Film","Horror",130,2009,"PG-13",172248,27,"Rotten","no","no","no","no","no","yes","Upright","Chris Weitz","Kristen Stewart","Robert Pattinson","Taylor Lautner","Ashley Greene","Rachelle Lefevre","http://www.rottentomatoes.com/m/twilight_saga_new_moon/","http://www.imdb.com/title/tt1259571/","1259571"
